Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Hu Hua Shi Zhe - 	121.13	Expert	2.94★	292	0.00003	0.0037		
 Swamp Thing - Da Tweekaz Edit	121.07	Expert	3.03★	293	0.00003	0.0035		
 Clarity (DJ Dil Rmx) - Zedd	120.97	Hard	2.92★	294	0.00003	0.0034		
 Hyadain no Joujou Yuujou - Hyadain	120.96	Expert+	2.9★	295	0.00003	0.0033		
 The Writing's On The Wall - OK GO	120.96	Expert	3.03★	296	0.00003	0.0032		
 Tank! (Ben Briggs Remix) - Cowboy Bebop	120.86	Expert	2.91★	297	0.00003	0.0031		
 Digimon - Butterfly - Digimon	120.82	Expert	3.03★	298	0.00002	0.0030		
 Narcissistic Cannibal - Ft. Skrillex and Kill The Noise	120.80	Expert+	2.96★	299	0.00002	0.0029		
 JoJo's BA - Opening 3	120.79	Hard	2.99★	300	0.00002	0.0028		
 Send Bobs - Hovey Benjamin	120.68	Expert+	3.03★	301	0.00002	0.0027		
 BTH 3 - Freefall VIP - (Charted by M.Rappold)	120.66	Expert+	2.9★	302	0.00002	0.0026		
 Otter Pop (feat. Hollis) - Shawn Wasabi	120.65	Expert+	2.97★	303	0.00002	0.0025		
 NOW - Thats What I Call B.S. VOL.1	120.63	Expert	2.97★	304	0.00002	0.0024		
 You're Only Second Rate - 	120.43	Hard	3.02★	305	0.00002	0.0023		
 Struggle - 	120.41	Expert	3.02★	306	0.00002	0.0022		
 Indestructible - Disturbed	120.32	Hard	2.86★	307	0.00002	0.0021		
 Insane Techniques - kors k	120.30	Expert	3.02★	308	0.00002	0.0021		
 Popcorn  - METAL version	120.12	Hard	2.99★	309	0.00002	0.0020		
 Ocarina of Time Medley - Michiko Naruke	119.99	Expert	2.97★	310	0.00002	0.0019		
 Sacred Shapes - 	119.96	Expert	2.89★	311	0.00002	0.0018		
 BTH 4 - Cool Me Mebbe - (Charted by M.Rappold	119.93	Expert+	3★	312	0.00001	0.0018		
 What You Know - Two Door Cinema Club	119.61	Expert+	2.92★	313	0.00001	0.0017		
 BTH2 - Stars - (Charted by M.Rappold)	119.60	Expert	2.95★	314	0.00001	0.0017		
 Hero ft. Elizaveta (Da Tweekaz 'Guitar Hero' Mix) - Charted by Adoom	119.60	Expert	2.97★	315	0.00001	0.0016		
 13 (Rukkus Remix) - Astronaut	119.57	Expert	2.95★	316	0.00001	0.0015		
 Light - San Holo	119.31	Expert	2.85★	317	0.00001	0.0015		
 Witch Doctor (Ooh Eeh Ooh Ah Aah Ting Tang Walla Walla Bing Bang) - The Cartoons	119.20	Expert+	3★	318	0.00001	0.0014		
 It's Not My Time - 3 Doors Down	119.13	Expert	2.98★	319	0.00001	0.0014		
 Mr. Blue Sky - Electric Light Orchestra	119.02	Expert	2.88★	320	0.00001	0.0013		
 BTH 3 - Firestorm - (Charted by M.Rappold)	118.97	Expert+	2.97★	321	0.00001	0.0013		
 Sunset - from Deemo	118.93	Hard	2.98★	322	0.00001	0.0012		
