Song	~High PP	Difficulty	★	#	Multi	~Actual PP	Total	Comments
 Fink U Freeky - Die Antwoord	61.40	Hard	1.5★					
 Fink U Freeky - Die Antwoord	61.40	Hard	1.5★					
 I Am Koresh - 	61.30	Hard	1.55★					
 The Game Has Changed - Daft Punk	61.20	Hard	1.53★					
 Backstage - NEFFEX	61.20	Hard	1.5★					
 Evening Star ~ Night Falls - Yukari's Theme	61.20	Expert+	1.53★					
 Basics in Behavior [Blue] - The Living Tombstone	61.10	Hard	1.42★					
 Pretty Girl (Cheat Codes x CADE Remix) - Maggie Lindemann	61.10	Expert	1.54★					
 Crystallize - Lindsey Stirling	61.10	Expert	1.47★					
 Rivers in the Desert [Mito Remix] - Persona 5: Dancing Star Night	61.10	Expert	1.53★					
 Freaks - Timmy Trumpet & Savage	61.10	Normal	1.48★					
 Odd Future - Uverworld	61.10	Hard	1.52★					
 MegaManX - Sigma Stage 2 - 	61.00	Expert	1.52★					
 Contact - 	61.00	Hard	1.49★					
 You Are the End - 	61.00	Hard	1.52★					
 Hysteria - v106	61.00	Hard	1.52★					
 Hysteria - v106	61.00	Hard	1.52★					
 Torches - 	60.90	Hard	1.52★					
 Uprising - Muse	60.90	Hard	1.45★					
 Iconic - prototyperaptor	60.90	Hard	1.46★					
 Hey Duggie Stick Song - Cbeebies	60.90	Hard	1.53★					
 Dum Dee Dum - Dum Beat Dum	60.90	Normal	1.46★					
 The Fragrance of Dark Coffee - Godot's Theme (Ace Attorney)	60.70	Hard	1.46★					
 Hellfire - Hommarju	60.70	Hard	1.53★					
 Chao Yue Ji Xian - CN-Music	60.70	Expert	1.52★					
 Ham Sandwich - Mel0n Mapped	60.60	Hard	1.53★					
 Gimme Chocolate!! - BABYMETAL	60.60	Expert	1.52★					
 Stuck In The Middle - Stealer's Wheel	60.60	Normal	1.51★					
 Pocket Crocodile - Kero Kero Bonito	60.50	Hard	1.51★					
 JoJo's BA - Opening 5	60.50	Hard	1.48★					
 Dimension - Creo	60.40	Normal	1.52★					
 Knights of Cydonia (Single Edit) - Muse	60.40	Hard	1.51★					
 Peek A Boo - Red Velvet	60.40	Hard	1.51★					
 infected (nightcore remix) - Nightcore	60.40	Expert	1.48★					
 Peek A Boo - Red Velvet	60.40	Hard	1.51★					
 Azur Lane VS Yuudachi - piano rock ver	60.30	Hard	1.45★					
 Funky Dragula - Loo & Placido	60.30	Hard	1.51★					
 Livin' On A Prayer - Bon Jovi	60.30	Hard	1.51★					
 Give It Up - Give It Up	60.30	Hard	1.96★					
 Give It Up - Give It Up	60.30	Hard	1.96★					
 Black Emperor - Chart by Mystikmol	60.20	Normal	1.5★					
 Tieduprightnow - Parcels	60.20	Normal	1.46★					
 GHOST - Jaden Smith (Ft Christian Rich)	60.20	Hard	1.44★					
 Cooking by the Book Remix ft. Lil John - 	60.20	Hard	1.5★					
 God Damn - 	60.20	Hard	1.44★					
 Sono gunjo-ga ito-shikatta youdatta - from CHUNITHM	60.10	Normal	1.5★					
 Lost in the Rhythm DELUXE - Made by Yoshirosama	60.10	Hard	1.49★					
 Xenogenesis - TheFatRat	60.10	Expert	1.45★					
 Xenogenesis - TheFatRat	60.10	Expert	1.45★					
 Berry Go !! - Freezer (Feat. Kiichigo)	60.00	Normal	1.16★					
 Glacial - 	60.00	Hard	1.49★					
 sigamiyorum - 	59.90	Normal	1.6★					
 I'll Make A Man Out Of You - Mulan	59.90	Hard	1.43★					
 Spy - 	59.90	Hard	1.51★					
 Kokoro no Kakera - 	59.80	Hard	1.49★					
 Victory - Two Steps From Hell	59.80	Hard	1.48★					
 Gerudo Valley METAL - 	59.70	Hard	1.48★					
 Pixel Galaxy - Snail's House	59.60	Hard	1.49★					
 Du Qing - 	59.60	Expert+	1.47★					
 SunSlammer - 	59.60	Hard	1.45★					
 This Is How It Goes - Radio Edit	59.60	Hard	1.45★					
 Space Smasher - (Original)	59.60	Normal	1.48★					
 Way Back - 	59.60	Hard	1.43★					
 Get Schwifty (Andromulus Remix) - 	59.60	Normal	1.48★					
 Little Swing - Map by SixtySix	59.60	Hard	1.52★					
 Sasquatch on the Roof - 	59.60	Expert	1.49★					
 Sasquatch on the Roof - 	59.60	Expert	1.49★					
 Get It - Matt and Kim - 	59.50	Hard	1.49★					
 Rich Girl - Hall and Oates	59.50	Hard	1.45★					
 Angels & Demons - 	59.50	Normal	1.55★					
 Stranded - WRLD x SMLE	59.50	Hard	1.45★					
 Mayday - The Fat Rat	59.40	Expert	1.43★					
 Blastix Riotz - Chart by Mystikmol	59.30	Normal	1.45★					
 Gypsy Woman - Anarbor	59.30	Hard	1.42★					
 Why Don't You Come On - 	59.30	Normal	1.5★					
 Bloom - ODEZA	59.30	Normal	1.34★					
 CANDYYYLAND (Pa's Lam System Remix) - tofubeats	59.20	Easy	1.48★					
 Hyadain no Kakata Katamoi-C - (Nichijou OP1) by Hyadain	59.20	Normal	1.47★					
 Warriors of the Night - Datsik & Virtual Riot	59.20	Expert+	1.49★					
 Savannah - Feat. Philly K	59.20	Hard	1.45★					
 Believer - Imagine Dragons	59.20	Expert	1.44★					
 Too Many Man - Boy Better Know	59.10	Hard	1.49★					
 Awe - prototyperaptor	59.10	Hard	1.42★					
 Awe - prototyperaptor	59.10	Hard	1.42★					
 Kryptonite - 	59.00	Normal	1.43★					
 Cory White House de Chou Taihen! - Unknown	59.00	Expert	1.48★					
 My Radio Talks To Me - Planet P Project	59.00	Normal	1.51★					
 cYsmix - Escapism (BilliumMoto Flip) - 	59.00	Normal	1.41★					
 Anaconda - Nicki Manaj	59.00	Expert	1.46★					
 Anaconda - Nicki Manaj	59.00	Expert	1.46★					
 Hyadain no Joujou Yuujou - Hyadain	58.90	Hard	1.47★					
 Campfire Song Song - Nickelodeon	58.80	Hard	1.43★					
 Absolute Territory - by WTHX	58.80	Easy	1.47★					
 The Game Brass - Dracula's Castle - 	58.80	Normal	1.47★					
 Believer - Imagine Dragons	58.80	Expert	1.44★					
 Believer - Imagine Dragons	58.80	Expert	1.44★					
 Believer - Imagine Dragons	58.80	Expert	1.44★					
 Believer - Imagine Dragons	58.80	Expert	1.44★					
 Believer - Imagine Dragons	58.80	Expert	1.44★					
 Believer - Imagine Dragons	58.80	Expert	1.44★					
 Believer - Imagine Dragons	58.80	Expert	1.43★					
 Believer - Imagine Dragons	58.80	Expert	1.43★					
 Believer - Imagine Dragons	58.80	Expert	1.43★					
 Believer - Imagine Dragons	58.80	Expert	1.43★					
 The Fox (What Does The Fox Say?) - Ylvis	58.70	Hard	1.47★					
 Armada - Skies of Arcadia OST	58.60	Normal	1.42★					
 Thriller - 	58.60	Normal	1.43★					
 Boomerang - 	58.60	Hard	1.47★					
 September - 	58.60	Normal	1.43★					
 Welcome to the Family - Avenged Sevenfold	58.60	Normal	1.48★					
 We're Gonna Lose FeelsGoodMan Clap - TimTheTatMan	58.60	Hard	1.48★					
 Trogdor - The Brothers Chaps	58.50	Hard	1.47★					
 Anaconda - Nicki Manaj	58.50	Expert	1.46★					
 Anaconda - Nicki Manaj	58.50	Expert	1.46★					
 Smoke Weed Every Day - Snoop Dogg	58.40	Hard	1.49★					
 Formation - Beyonce	58.30	Normal	1.46★					
 Sledgehammer - Savant	58.20	Normal	1.35★					
 Disclosure - Latch ft. Sam Smith	58.20	Hard	1.45★					
 Seagulls! - (Stop It Now)	58.20	Normal	1.4★					
 Live To Win - Paul Stanley	58.10	Normal	1.45★					
 Spoiler - DJ Hyper - 	58.10	Normal	1.47★					
 Oppa Toby Style - Not a Gangnam Style remix	58.10	Hard	1.56★					
 Qian Nian Deng Yi Hui - 	58.10	Expert	1.45★					
 Astrogazer - D.J Totto - 	58.10	Normal	1.39★					
 Savannah - Feat. Philly K	58.10	Hard	1.45★					
 The Squeaky Wheel - 	58.00	Normal	1.46★					
 The Final Countdown - Europe	58.00	Hard	1.38★					
 Mr. Blue Sky - Electric Light Orchestra	58.00	Normal	1.46★					
 Deadcrush - (Stoker)	58.00	Expert	1.45★					
 In My Heart - Chart by Mystikmol	57.90	Hard	1.42★					
 Move On (Radio Edit) - Shingo Nakamura & Kazusa	57.90	Hard	1.46★					
 Arena - Fabian Mazur	57.80	Expert	1.44★					
 Chasis Let's Cry - Makina Chasis Let's Cry	57.80	Easy	1.44★					
 D-Tecnolife - Bleach Opening 2	57.80	Hard	1.44★					
 Disarm You - Kaskade	57.70	Hard	1.38★					
 You Iruma'd in the wrong neighbourhood - Danganronpa	57.70	Hard	1.46★					
 Love Scenario - Love Scenario	57.70	Hard	1.44★					
 Miss You - bo en	57.70	Normal	1.48★					
 Until We Go Down - Until We Go Down	57.70	Hard	1.45★					
 You are the Miserable - 	57.70	Normal	1.45★					
 Skyrim Theme - The Song Of The Dragonborn	57.70	Expert	1.44★					
 Skyrim Theme - The Song Of The Dragonborn	57.70	Expert	1.44★					
 Just be Friends feat. Luka - by Dixie Flatline	57.60	Hard	1.41★					
 Black Skinhead - Kanye West	57.60	Normal	1.43★					
 Above All - Home	57.60	Normal	1.38★					
 Maximum Effort - Tom Holkenborg	57.50	Expert	1.41★					
 FFVII Fighting Theme (Original) - Those Who Fight	57.40	Expert	1.44★					
 Black Betty - Caravan Palace Cover	57.40	Normal	1.41★					
 Setsuna Imitation (feat. Yurica, Hanatan)  - Yairi	57.20	Normal	1.39★					
 Cut Your Teeth - Kygo & Kyla La Grange	57.20	Hard	1.37★					
 Need Somebody - Crankdat	57.20	Expert	1.44★					
 HYPE - 	57.20	Normal	1.43★					
 I was King  - 	57.10	Normal	1.42★					
 Big Enough - 	57.10	Expert	1.3★					
 I was King  - 	57.10	Normal	1.42★					
 Big Enough - 	57.10	Expert	1.3★					
 Wow Wow - V2	57.00	Normal	1.42★					
 High Five - by WTHX	56.90	Easy	1.42★					
 Jumper - Waterflame	56.90	Expert	1.79★					
 The Middle - Zedd	56.90	Hard	1.42★					
 Call Out My Name - The Weeknd	56.80	Normal	1.39★					
 Error_Operator - Taking Back Sunday	56.80	Hard	1.41★					
 At Doom's Gate 'E1M1' - Doom 2016 (Diff=Speed)	56.80	Hard	1.48★					
 Lucid Dream - Owl City	56.70	Expert	1.46★					
 Don't Stop Me Now - Mapped by Looneyks	56.70	Hard	1.38★					
 Sponge Bob - Hip Hop Remix	56.70	Hard	1.37★					
 Draw - Dorian Concept Remix	56.70	Hard	1.42★					
 Peptalk - De Staat	56.70	Hard	1.43★					
 Free Refills - by Galactic Hole	56.70	Hard	1.43★					
 Planet Rave - S3RL ft Renee 	56.60	Normal	1.41★					
 The Greatest Show - The Greatest Showman	56.60	Hard	1.36★					
 Hotel California - 	56.60	Normal	1.39★					
 Staring At The Sun - 	56.60	Hard	1.41★					
 Disco Descent - Crypt of the Necrodancer	56.60	Hard	1.4★					
 Cotton Eyed Joe - Rednex	56.50	Normal	1.41★					
 youth - troye sivan	56.50	Hard	1.39★					
 Bring It On - Giga-P	56.40	Normal	1.36★					
 Right Now - Van Halen	56.40	Normal	1.37★					
 Simple and Clean - Elan Vital	56.40	Expert	1.39★					
 Holy War - BoomKitty	56.40	Expert	1.41★					
 Right Here and Now - 	56.40	Expert	1.41★					
 I'm Gonna Be (500 Miles) - The Proclaimers	56.40	Normal	1.37★					
 Can You Feel My Heart - BRING ME THE HORIZON (Katy Jackson)	56.30	Expert	1.39★					
 Beerbongs & Bentleys - Ramzoid	56.30	Expert	1.36★					
 Westworld theme - 	56.30	Normal	1.34★					
 Sign of Evil (Andrew Hulshult remake) - Doom 	56.30	Hard	1.34★					
 Bad Behavior - 	56.20	Hard	1.4★					
 Westworld theme - 	56.20	Hard	1.4★					
 Face to face - Daft Punk	56.20	Normal	1.4★					
 melon bread - 	56.20	Normal	1.4★					
 Doki Doki - Nick Kaelar (Varien) / DDLC	56.20	Hard	1.34★					
 Where The Guns At - 	56.20	Hard	1.41★					
 Good Times Roll - Griz x Big Gigantic	56.10	Normal	1.45★					
 Du Qing - 	56.10	Expert	1.42★					
 A-Punk - Vampire Weekend	56.10	Normal	1.42★					
 Slow - Matoma (JCP edit)	56.10	Hard	1.4★					
 Hyper Drive - Jaroslav Beck, Generdyn	56.00	Expert	1.36★					
 It's Not Unusual - Tom Jones	56.00	Normal	1.44★					
 Deadcrush - (Stoker)	56.00	Normal	1.39★					
 Bass Jam - 	56.00	Normal	1.4★					
 Tightrope (Wondamix) - Janelle Monáe feat. B.o.B. & Lupe Fiasco	55.90	Normal	1.41★					
 The Way I Are - Timbaland	55.90	Normal	1.4★					
 Money - Mystery Skulls - Money	55.80	Hard	1.39★					
 Supermooon - sober rob & Karra	55.80	Hard	1.4★					
 While I'm Alive - (Stoker)	55.70	Normal	1.39★					
 Battle With a Flippant Foe - 	55.60	Hard	1.39★					
 You Know - 	55.60	Expert	1.41★					
 Magika - 	55.50	Hard	1.39★					
 Rainbow Notes - Approaching Nirvana	55.50	Hard	1.38★					
 Terraria - Plantera - Re-Logic	55.40	Hard	1.41★					
 Money - 	55.40	Normal	1.39★					
 Ultimate Celebration - Intents 2018 Anthem	55.30	Hard	1.39★					
 Icebreaker - 	55.30	Hard	1.38★					
 Headless Beast - Pause Ahead Side A - Bill Kiley	55.30	Easy	1.37★					
 Another Winter - 	55.30	Normal	1.38★					
 My sweet Shadow - 	55.20	Normal	1.38★					
 My sweet Shadow - 	55.20	Normal	1.38★					
 Du Qing - 	55.10	Hard	1.4★					
 Lights - ZeroPucks	55.00	Hard	1.37★					
 Shia LaBeouf - Rob Cantor	55.00	Easy	1.36★					
 Squid Sisters - 	55.00	Hard	1.37★					
 Squid Sisters - 	55.00	Hard	1.37★					
 Chiru Chiru - REOL	54.90	Normal	1.37★					
 Das Booty - Planet Booty	54.90	Expert	1.37★					
 Harder Better Faster Stronger - Daft Punk	54.90	Hard	1.4★					
 Cha Cha Slide - 	54.90	Hard	1.37★					
 3-Way (The Golden Rule)(feat. Justin Timberlake & Lady Gaga) - 	54.90	Expert	1.34★					
 Unshakable - RiraN	54.80	Easy	1.37★					
 Strip - 	54.80	Normal	1.34★					
 When Can I See You Again - Owl City	54.80	Expert	1.35★					
 Sound of Where'd U Go - ILLENIUM, Said The Sky, 1788-L, Kerli	54.80	Hard	1.37★					
 OmegaWave1986 - (feat. Matt Watson)	54.80	Hard	1.46★					
 Splatoon - Nasty Majesty	54.70	Normal	1.37★					
 ZOOKEEPERS - Drunk On You - 	54.70	Hard	1.37★					
 We Are - 	54.60	Normal	1.37★					
 Three Thirty - AJR	54.50	Hard	1.31★					
 Persona 4 Dancing - Snowflakes - ATLUS / Narasaki Remix	54.50	Normal	1.31★					
 Super Smash Bros. Brawl Theme - Nintendo	54.50	Hard	1.36★					
 Layer Cake - Persona 5 OST	54.40	Expert	1.36★					
 At Doom's Gate 'E1M1' - Doom 2016 (Diff=Speed)	54.40	Expert	1.4★					
 10th Ave - K.Flay	54.40	Hard	1.34★					
 Cool Patrol - 	54.40	Normal	1.36★					
 Shooting Stars (Onderkoffer Remix) - Bag Raiders	54.40	Expert	1.35★					
 Sorry - Justin Bieber	54.20	Normal	1.35★					
 Running From the Cops feat. Armanni Reign - Charted By Moriik	54.20	Normal	1.36★					
 Tongue Tied - Earl	54.20	Normal	1.35★					
 Better Off Alone - 	54.20	Hard	1.33★					
 Du Qing - 	54.10	Normal	1.38★					
 Rewind  - 	54.10	Hard	1.33★					
 Hooked on a Feeling - Blue Swede	54.00	Normal	1.35★					
 Earth Meets Water - PointedSprite	54.00	Hard	1.38★					
 Vicarious - 	54.00	Expert	1.35★					
 Mortal Kombat (Original Theme) - Techno Syndrome	53.90	Normal	1.31★					
 smooooch??- Beatmania - MatrixXMario	53.90	Hard	1.35★					
 Make Us High - 	53.90	Expert	1.3★					
 Cliffs Of Dover - [WIP] (GH3)	53.80	Expert	1.35★					
 Higher (Lakechild remix) - Cajsa Siik	53.70	Normal	1.34★					
 Konga Conga Kappa (King Konga) - Crypt of the Necrodancer	53.70	Hard	1.64★					
 It Makes No Difference Who We Are - Celldweller	53.70	Normal	1.43★					
 Caves - Haux	53.70	Hard	1.34★					
 No Name - NF	53.60	Hard	1.35★					
 Ocarina of Time Medley - Michiko Naruke	53.50	Hard	1.33★					
 Lights - Klaypex	53.50	Easy	1.36★					
 Dyscontrolled Galaxy  - Chart by Mystikmol	53.50	Normal	1.35★					
 Eyes, Nose, Lips - TAEYANG	53.40	Normal	1.33★					
 Tank Battle - Rocket Slime	53.40	Expert	1.33★					
 Mute City - F-Zero	53.40	Hard	1.33★					
 Party Rock Anthem - LMFAO	53.30	Normal	1.33★					
 Celebration - 	53.30	Hard	1.33★					
 Fireflies (Said The Sky Remix) - Owl City	53.30	Normal	1.3★					
 Every Day - Eric Prydz	53.20	Normal	1.34★					
 Trogdor - The Brothers Chaps	53.20	Normal	1.33★					
 Desert Rose - 	53.10	Hard	1.31★					
 Mama - Mapped By Torchy	53.00	Expert	1.33★					
 The Mad Doctor isn't Mad - Epic Mickey 2 Soundtrack	53.00	Hard	1.33★					
 Water Country Commercial - Your Summer Memories	52.90	Hard	1.35★					
 Feel It Still - Portugal. The Man	52.90	Easy	1.32★					
 BMT (Remix) - (Map By QuiqueLocoXDDDD)	52.90	Hard	1.29★					
 BMT (Remix) - (Map By QuiqueLocoXDDDD)	52.90	Hard	1.29★					
 Born to be alive - Born to be alive	52.70	Easy	1.32★					
 Big Enough - 	52.70	Expert	1.3★					
 Wolves - Selena Gomes ft Marshmello	52.60	Easy	1.31★					
 Solitary Man - Solitary Man	52.60	Normal	1.23★					
 Lonely Departure - Chroma	52.50	Easy	1.31★					
 Shelter - Porter Robinson & Madeon 	52.50	Normal	1.31★					
 Black Betty - Caravan Palace Remix	52.50	Easy	1.31★					
 Can't Beat Airman - feat. Hanatan	52.50	Hard	1.31★					
 Beelzeboss - The Final Showdown	52.40	Normal	1.32★					
 Seven Nation Army - The White Stripes	52.40	Hard	1.3★					
 This is America - Childish Gambino	52.40	Normal	1.33★					
 It Is Wednesday My Dudes - JimmyHere	52.30	Expert+	1.39★					
 Never Regret Anything - Chart by Mystikmol	52.30	Normal	1.31★					
 I Ain't Done - Andy Mineo	52.30	Normal	1.33★					
 The Mojo Radio Gang - 	52.30	Hard	1.27★					
 Berserk - DJ S3rl ft Iceman	52.20	Easy	1.26★					
 I'm being Reelistic - Omnitica	52.20	Normal	1.31★					
 Give It Up - Knife Party	52.20	Normal	1.28★					
 Give It Up - Knife Party	52.20	Normal	1.28★					
 citrus - Chart by Mystikmol	52.10	Normal	1.3★					
 Why Don't You Come On - 	52.10	Easy	1.31★					
 This is America (1.2) - Childish Gambino	51.90	Normal	1.31★					
 DotA - 	51.90	Normal	1.27★					
 Booty Swing - 	51.90	Expert	1.29★					
 Renegade - phoenix7700	51.80	Normal	1.3★					
 Lycanthropy - 	51.80	Hard	1.29★					
 Narcissistic Cannibal - Ft. Skrillex and Kill The Noise	51.80	Hard	1.25★					
 Crazy Frog - Axel F - Axel F	51.70	Hard	1.3★					
 Milky Way (Explore) - Ben Prunty	51.60	Hard	1.29★					
 Oh Mama - Run The Jewls	51.60	Hard	1.26★					
 Natsuiro Egao de 1 2 Jump! - 	51.50	Normal	1.29★					
 Layer Cake - Persona 5 OST	51.50	Hard	1.24★					
 Fly - Marshmello	51.50	Expert	1.29★					
 Back Again - Archie	51.50	Normal	1.29★					
 Let It Go - Frozen - Alex Boye  - (Africanized Tribal Cover) Ft. One Voice Children's Choir	51.40	Hard	1.27★					
 Get Schwifty (Andromulus Remix) - 	51.40	Easy	1.24★					
 Doomsday - Nero - 	51.40	Hard	1.28★					
 ICE - Michelle Creber & Gabriel Brown	51.30	Normal	1.28★					
 Piercing the Sky - Souleye	51.30	Normal	1.28★					
 The Avengers Theme Song - Marvel	51.30	Expert	1.3★					
 One More Time - Berlin Child	51.20	Normal	1.25★					
 FIFA 2018 Rusia - live it up	51.20	Expert	1.29★					
 Gerudo Valley - The Legend of Zelda - Super Smash Bros Wii U	51.20	Hard	1.28★					
 Again - 	51.20	Hard	1.28★					
 Fruit Juice - Snoop Lion	51.10	Normal	1.25★					
 Holding Out for a Hero - Bonnie Tyler	51.00	Normal	1.23★					
 I Wanna Go - Britney Spears	50.90	Normal	1.27★					
 A Light that Never Comes  - 	50.90	Normal	1.27★					
 A Light that Never Comes  - 	50.90	Normal	1.27★					
 Ninelie (REDSHiFT & Vesuvia Remix) - Kabaneri ED	50.80	Hard	1.27★					
 Acid Rain - LORN	50.80	Hard	1.26★					
 Lost Woods - Zelda	50.80	Hard	1.24★					
 Powerful - Major Lazer	50.80	Normal	1.13★					
 Hello, Morning (Short edit) - Nor ft. Kizuna AI	50.70	Normal	1.27★					
 Harry Porra BR - Made by Francozala	50.70	Expert	1.27★					
 Wake Me Up Before You Go-Go - Wake Me Up Before You Go-Go	50.70	Normal	1.26★					
 First Of The Year (Equinox) - 	50.70	Normal	1.22★					
 Yeah! - Usher	50.60	Normal	1.25★					
 Open - Rob Gasser & Insanlik3	50.60	Normal	1.27★					
 F.U.N. Song - Charted by GruntTSD	50.60	Expert+	1.27★					
 Boulevard of Broken Dreams - Green Day	50.60	Normal	1.23★					
 Stayin' Alive - 	50.60	Normal	1.25★					
 Atlantis Level 1 - Glover OST (N64)	50.60	Hard	1.3★					
 Atlantis Level 1 - Glover OST (N64)	50.60	Hard	1.3★					
 I Want You - DJMAX	50.50	Normal	1.26★					
 LAST GAME (TV-Size) - STEINS;GATE	50.50	Hard	1.24★					
 A Tiny Spaceship's Final Mission - Fantomenk	50.50	Normal	1.26★					
 JoJo's BA - Opening 2	50.50	Hard	1.31★					
 Pushed Down(Nightcore) - Stahl	50.30	Normal	1.25★					
 Little Talks - Of Monsters and Men	50.30	Normal	1.25★					
 Crystal Palace _ by SHIKI - 	50.20	Hard	1.28★					
 Cryosleep - 	50.20	Easy	1.2★					
 Barbie Girl - Aqua	50.10	Normal	1.21★					
 Fuck Her Gently - Tenacious D	50.10	Normal	1.24★					
 Pandora - 	50.00	Hard	1.24★					
 Let Me Ohh - E-Dubble, RIP February 13, 2017	50.00	Hard	1.25★					
 No Name - NF	50.00	Normal	1.26★					
 Senbonzakura (Short Ver.) - Kradness + Giga-P	49.90	Easy	1.24★					
 KDV (feat. Shug) - MISSIO	49.90	Easy	1.19★					
 The_World_Warrior - 	49.90	Expert+	1.25★					
 Genkai x Toppai Survivor - Dragon Ball Super	49.90	Hard	1.26★					
 Interstellar (Ben Walter Remix) - 	49.90	Expert	1.2★					
 Carpe Diem Pt.3 - FireFarm & AJ Myst	49.80	Hard	1.25★					
 Immortals - Fall Out Boys - JenMacAllister	49.80	Expert	1.23★					
 Duncan Hills Coffee Jingle - Dethklok	49.80	Easy	1.25★					
 gee kpop - Girls Generation (kpop)	49.80	Normal	1.26★					
 Vicarious - 	49.80	Hard	1.24★					
 En Antris Et Stella Fatum Cruenti - Dethklok	49.70	Hard	1.19★					
 Bullets - Cyberpunk 2077 Soundtrack	49.70	Hard	1.25★					
 Night is on my mind - Dillon Francis Remix	49.70	Hard	1.25★					
 EC2 - Still Waiting - Prototyperaptor	49.60	Hard	1.18★					
 Lost Frequincies - Are You With me - Are You With Me	49.60	Hard	1.24★					
 Get Down - BJJ	49.60	Normal	1.24★					
 Meltdown feat. Rin - by Iroha(Sasaki)	49.40	Hard	1.21★					
 CHINA_X - 	49.40	Easy	1.21★					
 Dangerous Night - 30 Seconds to Mars	49.30	Hard	1.19★					
 Walk on Water - 30 seconds to mars	49.30	Hard	1.22★					
 Derezzed - Tron: Legacy Soundtrack	49.30	Normal	1.22★					
 Derezzed - Tron: Legacy Soundtrack	49.30	Normal	1.22★					
 Ruriirokingyo to Hanasyoubu - (nmk Eurobeat mix)	49.10	Normal	1.23★					
 Lone Digger - 	49.10	Easy	1.2★					
 Dragonborn - Skyrim	49.00	Normal	1.22★					
 No No No - TheFatRat	48.90	Easy	1.17★					
 Shader lau - studio13	48.90	Normal	1.23★					
 Why - 	48.90	Normal	1.22★					
 Du Qing - 	48.80	Easy	1.23★					
 Erza's Theme - Fairy Tail	48.80	Normal	1.22★					
 Dragon Oath theme  - TLBB	48.80	Expert	1.22★					
 Macarena - Los del Rio	48.70	Hard	1.22★					
 EDEN - icarus - (BeatSaber Remix - Arthur Hoeke)	48.60	Normal	1.11★					
 Epollo - Alon Mor	48.60	Hard	1.21★					
 Stamina - Vitalic	48.50	Hard	1.21★					
 Everybody - Backstreet Boys	48.40	Hard	1.61★					
 Mundo - Chart by Mystikmol	48.40	Normal	1.14★					
 Do It Again - 	48.30	Hard	1.2★					
 Do It Again - 	48.30	Hard	1.2★					
 Snow Halation - by Muse	48.20	Normal	1.2★					
 Remix 10 - SilvaGunner Remix	48.20	Normal	1.2★					
 The Queens Justice - Game of Thrones	48.20	Hard	1.29★					
 Song of Storms METAL - 	48.20	Normal	1.16★					
 Let It Happen - Tame Impala	48.00	Normal	1.21★					
 Popcorn Funk - Monstaz.	48.00	Hard	1.18★					
 I Like It - Cardi B	48.00	Normal	1.2★					
 Break In-City - Tenacious D	47.90	Normal	1.17★					
 Black Shout - Roselia	47.80	Normal	1.17★					
 Death by Glamour - by Toby Fox	47.80	Normal	1.16★					
 Symphony - Clean Bandit	47.80	Hard	1.15★					
 Flat Zone 2 - Kenichi Okuma	47.70	Hard	1.19★					
 Toilet - Mapped by Riddick	47.70	Expert	1.19★					
 Awe (One Saber) - prototyperaptor	47.70	Hard	1.19★					
 Burn - Ellie Goulding	47.60	Easy	1.19★					
 Freaky Friday by Lil Dicky - Lil Dicky	47.60	Easy	1.13★					
 Everytime we touch - Radio Edit - Cascada	47.60	Normal	1.13★					
 Sono gunjo-ga ito-shikatta youdatta - from CHUNITHM	47.50	Easy	1.13★					
 Please Intro - NESkimos	47.50	Hard	1.23★					
 JoJo's BA - Opening 4	47.50	Hard	1.19★					
 Furries - 	47.40	Normal	1.18★					
 Telephone Awoo - Telephone Number (1984)	47.40	Hard	1.18★					
 9,000 Miles - (Charted by M.Rappold)	47.40	Hard	1.18★					
 kochira?koufuku an shin i inkai - UTATA P	47.30	Easy	1.2★					
 Shooting Stars (Onderkoffer Remix) - Bag Raiders	47.30	Hard	1.18★					
 Ride - Twenty One Pilots	47.20	Normal	1.17★					
 iLLness LiLin  - Chart by Mystikmol	47.10	Normal	1.18★					
 Death to Disco - by Freeek	47.10	Easy	1.13★					
 Bohemian Rhapsody - Queen	47.10	Easy	1.16★					
 Blood Sugar - Knife Party Remix	47.00	Hard	1.14★					
 This Is Gospel - Panic! At The Disco	47.00	Normal	1.13★					
 Moon Prism Power Make Up! - PointedSprite	47.00	Expert	1.16★					
 Furries - 	47.00	Easy	1.17★					
 Gerudo Valley METAL - 	47.00	Normal	1.18★					
 Cabinet Battle #1 - Hamilton	47.00	Hard	1.15★					
 G.O.M.D - Sickick	47.00	Hard	1.14★					
 Cabinet Battle #1 - Hamilton	47.00	Hard	1.15★					
 G.O.M.D - Sickick	47.00	Hard	1.14★					
 Decompression - Wilkinson	46.80	Hard	1.17★					
 Fabulous - Roomie & Pewdiepie	46.70	Normal	1.16★					
 Jay Chou - Love Confession - Jay Chou	46.70	Expert	1.17★					
 Slow - Matoma (JCP edit)	46.70	Normal	1.17★					
 +1 - Martin Solveig ft Sam White	46.70	Normal	1.16★					
 Uptown Funk - Mark Ronson - Bruno Mars	46.70	Normal	1.16★					
 The Water Song - BottledWaterMatters	46.60	Normal	1.16★					
 Pocket Crocodile - Kero Kero Bonito	46.60	Normal	1.17★					
 Death to Disco - by Freeek	46.40	Normal	1.16★					
 Earth Meets Water - PointedSprite	46.40	Normal	1.16★					
 Friend Like Me - Aladdin OST	46.40	Normal	1.16★					
 In My Heart - Chart by Mystikmol	46.30	Normal	1.16★					
 TRNDSTTR - Black Coast	46.30	Normal	1.16★					
